WKT
"LINESTRING (530661.273277437 184263.227007979,530669.873713601 184198.202498194)"
"LINESTRING (530669.873713601 184198.202498194,530680.106990597 184116.546976224)"
"LINESTRING (530680.106990597 184116.546976224,530710.774405031 183880.997879971)"
"LINESTRING (530710.774405031 183880.997879971,530724.676000376 183752.051817396)"
"LINESTRING (530661.273277437 184263.227007979,530775.40555041 184315.358613665)"
"LINESTRING (530775.40555041 184315.358613665,530930.655198858 184386.344982754)"
"LINESTRING (530930.655198858 184386.344982754,531098.165916253 184448.915551178)"
"LINESTRING (531098.165916253 184448.915551178,531272.653430777 184525.542431131)"
"LINESTRING (531272.653430777 184525.542431131,531340.120063562 184550.929979599)"
"LINESTRING (530775.40555041 184315.358613665,530801.644313055 184259.03459139)"
"LINESTRING (530801.644313055 184259.03459139,530804.977618592 184190.573623817)"
"LINESTRING (530669.873713601 184198.202498194,530801.644313055 184259.03459139)"
"LINESTRING (530801.644313055 184259.03459139,530930.743767384 184317.987556746)"
"LINESTRING (530930.743767384 184317.987556746,531122.85028448 184383.416561116)"
"LINESTRING (530804.977618592 184190.573623817,530845.746509394 184166.214852583)"
"LINESTRING (530760.362606016 184169.804566239,530804.977618592 184190.573623817)"
"LINESTRING (530760.362606016 184169.804566239,530754.4718097 184125.703652178)"
"LINESTRING (530754.4718097 184125.703652178,530772.699321961 183985.110691438)"
"LINESTRING (530680.106990597 184116.546976224,530754.4718097 184125.703652178)"
"LINESTRING (530754.4718097 184125.703652178,530851.427315037 184123.179087275)"
"LINESTRING (530851.427315037 184123.179087275,530924.739253607 184119.23422909)"
"LINESTRING (530924.739253607 184119.23422909,531005.531557589 184120.431312811)"
"LINESTRING (531005.531557589 184120.431312811,531057.401263579 184118.265086617)"
"LINESTRING (530845.472416304 183987.953390436,530851.427315037 184123.179087275)"
"LINESTRING (530851.427315037 184123.179087275,530845.746509394 184166.214852583)"
"LINESTRING (530772.699321961 183985.110691438,530811.92856813 183961.232019857)"
"LINESTRING (530811.92856813 183961.232019857,530845.472416304 183987.953390436)"
"LINESTRING (530804.102790386 183678.914813068,530806.987301314 183742.487860205)"
"LINESTRING (530806.987301314 183742.487860205,530810.256885013 183814.54770114)"
"LINESTRING (530810.256885013 183814.54770114,530812.755643871 183882.734526105)"
"LINESTRING (530812.755643871 183882.734526105,530811.92856813 183961.232019857)"
"LINESTRING (530806.987301314 183742.487860205,530909.226441064 183742.793819091)"
"LINESTRING (530907.934553283 183673.031878927,530909.226441064 183742.793819091)"
"LINESTRING (530909.226441064 183742.793819091,530912.08515963 183815.09800831)"
"LINESTRING (530912.08515963 183815.09800831,530915.158086168 183884.755853463)"
"LINESTRING (530915.158086168 183884.755853463,530921.855320154 184029.085378495)"
"LINESTRING (530921.855320154 184029.085378495,530924.739253607 184119.23422909)"
"LINESTRING (530924.739253607 184119.23422909,530930.743767384 184317.987556746)"
"LINESTRING (530930.743767384 184317.987556746,530930.655198858 184386.344982754)"
"LINESTRING (531002.714470752 184188.706613607,531074.124824292 184204.359020296)"
"LINESTRING (531074.124824292 184204.359020296,531182.648454087 184226.152587624)"
"LINESTRING (531182.648454087 184226.152587624,531414.835866868 184276.335228756)"
"LINESTRING (531002.714470752 184188.706613607,531005.531557589 184120.431312811)"
"LINESTRING (531061.687573591 184254.13053807,531074.124824292 184204.359020296)"
"LINESTRING (531014.260003 184282.658893,531061.687573591 184254.13053807)"
"LINESTRING (531061.687573591 184254.13053807,531162.807351763 184282.996986198)"
"LINESTRING (531162.807351763 184282.996986198,531399.35636026 184345.821013976)"
"LINESTRING (531098.165916253 184448.915551178,531122.85028448 184383.416561116)"
"LINESTRING (531122.85028448 184383.416561116,531142.72810895 184339.942561426)"
"LINESTRING (531142.72810895 184339.942561426,531162.807351763 184282.996986198)"
"LINESTRING (531162.807351763 184282.996986198,531182.648454087 184226.152587624)"
"LINESTRING (531182.648454087 184226.152587624,531200.805667933 184150.587138443)"
"LINESTRING (531200.805667933 184150.587138443,531221.199127024 184074.095061576)"
"LINESTRING (531221.199127024 184074.095061576,531282.101437433 184085.298467893)"
"LINESTRING (531282.101437433 184085.298467893,531360.81315791 184105.80248157)"
"LINESTRING (531360.81315791 184105.80248157,531437.130639982 184133.981316491)"
"LINESTRING (531175.733830895 183889.925010926,531182.616711757 183937.972215507)"
"LINESTRING (531182.616711757 183937.972215507,531201.382822199 184011.290524253)"
"LINESTRING (531201.382822199 184011.290524253,531221.199127024 184074.095061576)"
"LINESTRING (531103.473223111 183946.445660316,531182.616711757 183937.972215507)"
"LINESTRING (531272.653430777 184525.542431131,531297.510832 184441.573404)"
"LINESTRING (531340.120063562 184550.929979599,531381.942953415 184418.513506298)"
"LINESTRING (531381.942953415 184418.513506298,531399.35636026 184345.821013976)"
"LINESTRING (531399.35636026 184345.821013976,531414.835866868 184276.335228756)"
"LINESTRING (531414.835866868 184276.335228756,531432.122321476 184204.097775571)"
"LINESTRING (531057.401263579 184118.265086617,531144.697361754 184137.115657945)"
"LINESTRING (531144.697361754 184137.115657945,531200.805667933 184150.587138443)"
"LINESTRING (531200.805667933 184150.587138443,531432.122321476 184204.097775571)"
"LINESTRING (531394.263883541 183917.627448743,531417.152550253 184035.901077859)"
"LINESTRING (531417.152550253 184035.901077859,531437.130639982 184133.981316491)"
"LINESTRING (531437.130639982 184133.981316491,531432.122321476 184204.097775571)"
"LINESTRING (531378.008735868 183574.087526744,531388.666944278 183742.743754975)"
"LINESTRING (531388.666944278 183742.743754975,531394.263883541 183917.627448743)"
"LINESTRING (531301.402038757 183712.693707666,531343.258436628 183744.822914482)"
"LINESTRING (531343.258436628 183744.822914482,531388.666944278 183742.743754975)"
"LINESTRING (531304.93919914 183781.226190095,531343.258436628 183744.822914482)"
"LINESTRING (531303.978111749 183949.27118136,531306.496709584 183903.993471318)"
"LINESTRING (531306.496709584 183903.993471318,531304.93919914 183781.226190095)"
"LINESTRING (531175.733830895 183889.925010926,531242.901936877 183896.087222484)"
"LINESTRING (531242.901936877 183896.087222484,531306.496709584 183903.993471318)"
"LINESTRING (531306.496709584 183903.993471318,531394.263883541 183917.627448743)"
"LINESTRING (531059.272389894 183970.397595806,531075.613613416 183887.448124233)"
"LINESTRING (530986.092128036 183886.027148275,531003.143839537 183969.331863837)"
"LINESTRING (531003.143839537 183969.331863837,531059.272389894 183970.397595806)"
"LINESTRING (530710.774405031 183880.997879971,530812.755643871 183882.734526105)"
"LINESTRING (530812.755643871 183882.734526105,530915.158086168 183884.755853463)"
"LINESTRING (530915.158086168 183884.755853463,530986.092128036 183886.027148275)"
"LINESTRING (530986.092128036 183886.027148275,531028.543784794 183886.737636254)"
"LINESTRING (531028.543784794 183886.737636254,531075.613613416 183887.448124233)"
"LINESTRING (531075.613613416 183887.448124233,531149.927523716 183888.597119175)"
"LINESTRING (531149.927523716 183888.597119175,531175.733830895 183889.925010926)"
"LINESTRING (531242.901936877 183896.087222484,531243.518158033 183880.270879485)"
"LINESTRING (531369.424129958 184042.952702324,531417.152550253 184035.901077859)"
"LINESTRING (531360.81315791 184105.80248157,531369.424129958 184042.952702324)"
"LINESTRING (531175.733830895 183889.925010926,531191.965639015 183748.193873999)"
"LINESTRING (531191.965639015 183748.193873999,531211.838390697 183524.995969587)"
"LINESTRING (531211.838390697 183524.995969587,531295.800759127 183555.282868096)"
"LINESTRING (531295.800759127 183555.282868096,531378.008735868 183574.087526744)"
"LINESTRING (530944.107411146 183667.864327803,531101.005030084 183580.310866574)"
"LINESTRING (531101.005030084 183580.310866574,531211.838390697 183524.995969587)"
"LINESTRING (531101.005030084 183580.310866574,531149.927523716 183888.597119175)"
"LINESTRING (531028.543784794 183886.737636254,531030.230687 183855.631128)"
"LINESTRING (531191.965639015 183748.193873999,531258.808732472 183747.770548135)"
"LINESTRING (531258.808732472 183747.770548135,531304.93919914 183781.226190095)"
"LINESTRING (531258.808732472 183747.770548135,531301.402038757 183712.693707666)"
"LINESTRING (531295.800759127 183555.282868096,531301.402038757 183712.693707666)"
"LINESTRING (530705.060572416 183581.28129884,530717.620850336 183685.414693844)"
"LINESTRING (530717.620850336 183685.414693844,530724.676000376 183752.051817396)"
"LINESTRING (530717.620850336 183685.414693844,530804.102790386 183678.914813068)"
"LINESTRING (530804.102790386 183678.914813068,530907.934553283 183673.031878927)"
